"lat","lon","prop_id"
40.80627,-73.92422,1
40.80561,-73.92262,2
40.80981,-73.92068,3
40.81193,-73.91994,4
40.81169,-73.91904,5
40.81255,-73.91737,6
40.80974,-73.92425,7
40.81125,-73.92435,8
40.81928,-73.91547,9
40.83009,-73.90835,10
40.81984,-73.91721,11
40.81836,-73.92064,12
40.82774,-73.91582,13
40.82843,-73.91273,14
40.82847,-73.91578,15
40.82965,-73.9141,16
40.8349,-73.91191,17
40.83452,-73.91077,18
40.82976,-73.91606,19
40.82817,-73.9182,20
40.82976,-73.91622,21
40.8331,-73.91518,22
40.83285,-73.91636,23
40.8312,-73.92789,24
40.83169,-73.92864,25
40.83253,-73.92952,26
40.83307,-73.92844,27
40.84,-73.92387,28
40.80884,-73.9144,29
40.807,-73.9107,30
40.81043,-73.90505,31
40.82997,-73.9038,32
40.82488,-73.90629,33
40.82251,-73.90727,34
40.81904,-73.90663,35
40.82786,-73.90228,36
40.82912,-73.90175,37
40.83037,-73.89999,38
40.83015,-73.89993,39
40.81595,-73.90412,40
40.8175,-73.90292,41
40.82968,-73.89816,42
40.81453,-73.90359,43
40.82391,-73.89838,44
40.8182,-73.90037,45
40.81636,-73.89993,46
40.81681,-73.89952,47
40.81554,-73.89964,48
40.82042,-73.89396,49
40.82549,-73.89381,50
40.81732,-73.89399,51
40.81758,-73.88975,52
40.82542,-73.89058,53
40.82415,-73.88761,54
40.8194,-73.88786,55
40.81928,-73.88767,56
40.81844,-73.88759,57
40.8148,-73.88744,58
40.81311,-73.88892,59
40.81305,-73.88699,60
40.83462,-73.91071,61
40.83522,-73.90996,62
40.83631,-73.90846,63
40.8358,-73.91049,64
40.83635,-73.91119,65
40.84433,-73.90587,66
40.84621,-73.90646,67
40.84708,-73.90728,68
40.84822,-73.90488,69
40.851,-73.90292,70
40.84127,-73.90947,71
40.84608,-73.91245,72
40.84927,-73.91013,73
40.84753,-73.91575,74
40.85342,-73.91078,75
40.85082,-73.91447,76
40.84273,-73.92193,77
40.8473,-73.91643,78
40.84836,-73.92055,79
40.85106,-73.91776,80
40.85196,-73.91839,81
40.85277,-73.91446,82
40.85288,-73.91454,83
40.8492,-73.92201,84
40.84896,-73.9222,85
40.84424,-73.90416,86
40.84503,-73.90041,87
40.83325,-73.90073,88
40.83311,-73.89893,89
40.83659,-73.89205,90
40.84448,-73.89183,91
40.84262,-73.88902,92
40.84023,-73.88786,93
40.83034,-73.89877,94
40.83318,-73.89505,95
40.83453,-73.89354,96
40.83047,-73.89721,97
40.83112,-73.89578,98
40.83017,-73.89343,99
40.83001,-73.8934,100
40.83323,-73.88918,101
40.83415,-73.88848,102
40.82897,-73.88907,103
40.83291,-73.88732,104
40.8302,-73.88791,105
40.8332,-73.88699,106
40.83306,-73.88604,107
40.85939,-73.89449,108
40.85894,-73.89268,109
40.8531,-73.89594,110
40.85544,-73.89376,111
40.85689,-73.89312,112
40.85212,-73.89487,113
40.85384,-73.89413,114
40.85407,-73.89321,115
40.85703,-73.88963,116
40.85778,-73.88793,117
40.85151,-73.89124,118
40.85832,-73.88531,119
40.84968,-73.89133,120
40.85098,-73.88932,121
40.85459,-73.88747,122
