"long","lat","id"
1329837.19450341,192510.937931166,1
1116584.48084373,197337.468572193,2
1303972.77713345,117695.997750988,3
1176040.08936954,270282.215999247,4
1130911.66742623,286273.230141564,5
1109545.4441051,252532.583526153,6
1120377.82958194,250149.796961494,7
1148777.04859004,204940.113408872,8
1110919.52494787,267053.84867042,9
1091516.92194999,265904.582950799,10
1442853.61029212,456202.38622353,11
1450527.05708056,456617.166723349,12
1279255.6412208,110890.359253849,13
1281211.71377916,111546.122740793,14
1504354.81093627,436007.852799392,15
1091921.41448947,298055.658322819,16
1118147.75899976,268833.822128404,17
1468650.35056481,445887.252020112,18
1161224.74048513,194830.449649332,19
1160408.91227809,262658.35792581,20
1392316.13356545,148025.508107915,21
1107938.0206733,266449.389994522,22
1395937.51040359,186037.6123353,23
1387675.3879192,193991.240155076,24
1454243.2325785,453932.448767945,25
1271267.10851727,110770.588385997,26
1255404.53709394,103174.208603419,27
1268570.91187473,110746.336752269,28
1148621.37719805,233160.581503003,29
1183239.39180157,265488.157866918,30
1087676.61868801,278008.680628986,31
1159342.15695549,244908.112160528,32
1414995.35591453,458289.156947295,33
1122231.23160606,275332.464666108,34
1454784.65104059,433544.758443652,35
1301749.29263889,348001.128302807,36
1404711.45499089,171696.052028189,37
1517241.19270485,419361.066178411,38
1357160.7113737,478835.588368882,39
1091408.73619996,235112.715126689,40
1411083.93917538,162549.511129072,41
1404696.65363308,174461.063680063,42
1439302.19885672,457321.21446328,43
1151281.52293624,235747.695915811,44
1399953.68377629,462665.268936958,45
1138022.80097161,232027.980326735,46
1392793.64074398,188783.576187324,47
1379599.83870701,129719.29889534,48
1438635.27519474,459275.60828209,49
1443207.9962096,458727.363777112,50
1232003.3899762,314456.209569694,51
1158798.42049063,213146.25693265,52
1083391.77553693,131127.426466518,53
1145416.58676289,372342.437376026,54
1127754.97127969,245415.291137695,55
1204034.71153791,122089.60115655,56
1376335.52088257,125798.564436175,57
1146043.88618223,235840.229193023,58
1146168.99273194,207642.199106711,59
1405093.77589493,131930.966156481,60
1100188.03335621,105178.474575693,61
1152884.41610715,115615.629639414,62
1539608.95738184,407363.589911306,63
1536968.91380283,407371.240154854,64
1518825.5552428,419360.22580641,65
1297136.56179382,109948.552460287,66
1345247.03620686,120085.574634074,67
1386374.37945322,194019.496401643,68
1534127.74173502,416165.605530042,69
1374041.21497044,160208.943904744,70
1310357.63038407,469643.1507506,71
1161531.8199394,218385.370304585,72
1552516.95262582,405964.886686062,73
1330724.34388623,151323.742774082,74
1286460.22742729,112674.571227201,75
1318803.7948848,461262.213578189,76
1192579.99925444,307178.450697117,77
1226457.89435154,398339.068959499,78
1353275.12555153,172220.959409832,79
1411829.31277436,139902.382307587,80
1510744.36125983,423052.498151932,81
1078181.67052561,267932.771641286,82
1177392.54371803,370834.811514214,83
1187048.04399383,99247.5855233151,84
1357181.33269093,169493.612442513,85
1132890.74538376,76986.2488332733,86
1136849.29311468,76889.0002109548,87
1367432.07798918,299592.52821063,88
1375360.94331586,160194.407048807,89
1203812.59529136,110302.727975542,90
1381900.94225392,158815.655512036,91
1330603.88504292,363375.865548477,92
1119414.57585908,224546.912227803,93
1315556.27644081,472285.510807332,94
1125794.38485728,252707.398900548,95
1164611.69413327,141115.300131882,96
1237023.48654951,290590.049234643,97
1192291.29229774,288600.544279852,98
1155419.29843128,143936.045414791,99
1309246.46325327,359920.928528752,100
1138515.05686988,266370.214523724,101
1295198.1400636,115790.551929996,102
1112141.64429507,261714.929160071,103
1133648.72931474,292937.078880092,104
1282371.95905099,104920.245543518,105
1390394.95341665,146100.052140258,106
1237371.103934,255546.109111349,107
1120443.55672215,121782.699794599,108
1088263.60938209,241152.717690066,109
